State,City,Avg In Snow / Year
Wyoming,Alta,109.5
Wyoming,Cody,47.3
Wyoming,Jackson,66.1
Wyoming,Moose,162.8
Wyoming,Moran,166.2
Wyoming,Yellowstone Lake,193.7
Wyoming,"Yellowstone Park, Mammoth",64.4
Wyoming,"Yellowstone Park, Old Faithful",207.8
Wyoming,Evanston,47.3
Wyoming,Fontenelle Reservoir Dam,25.7
Wyoming,Kemmerer,62
Wyoming,Rock Springs,46.7
Wyoming,Boysen Reservoir Dam,11.9
Wyoming,Lander,91.4
Wyoming,Riverton,37.1
Wyoming,Ten Sleep,59.2
Wyoming,Thermopolis,26.7
Wyoming,Worland,30
Wyoming,Buffalo,36.5
Wyoming,Devils Tower,48.3
Wyoming,Gillette,58.8
Wyoming,Sheridan,71.4
Wyoming,Sundance,79.2
Wyoming,Casper,74.9
Wyoming,Centennial,108.4
Wyoming,Cheyenne,60.3
Wyoming,Douglas,62.8
Wyoming,Laramie,49.7
Wyoming,Muddy Gap,51.1
Wyoming,Torrington,32.4
Wisconsin,Appleton,44.2
Wisconsin,"Crivitz, High Falls Flowage",53.1
Wisconsin,Fond du Lac,37
Wisconsin,Green Bay,51.4
Wisconsin,Kenosha,36.2
Wisconsin,Lake Geneva,42.1
Wisconsin,Marinette,43.5
Wisconsin,Milwaukee,46.9
Wisconsin,Oshkosh,35.8
Wisconsin,Racine,42.4
Wisconsin,Sheboygan,43.8
Wisconsin,Sturgeon Bay,50.7
Wisconsin,Washington Island,48.1
Wisconsin,Beaver Dam,38
Wisconsin,Beloit,31.9
Wisconsin,La Crosse,43.3
Wisconsin,Madison,50.9
Wisconsin,Prairie du Chien,33.2
Wisconsin,Viroqua,46.3
Wisconsin,Wisconsin Dells,39.3
Wisconsin,Wisconsin Rapids,43.2
Wisconsin,Drummond,70.2
Wisconsin,Eau Claire,46.8
Wisconsin,"Rest Lake, Manitowish Waters",67.2
Wisconsin,Rice Lake,53.8
Wisconsin,River Falls,45.8
Wisconsin,St Croix Falls,44.1
Wisconsin,Wausau,59.6
Wisconsin,Willow Reservoir,47.9
Wisconsin,Bayfield,103.4
Wisconsin,Madeline Island,72.2
Wisconsin,Superior,56.2
West Virginia,Bartow,67.5
West Virginia,Elkins,83.5
West Virginia,Franklin,25.4
West Virginia,Marlinton,40.3
West Virginia,Martinsburg,26.1
West Virginia,Seneca State Forest,61.1
West Virginia,Snowshoe,159
West Virginia,Wardensville,22
West Virginia,Beckley,62
West Virginia,Bluefield,30.7
West Virginia,Charleston,36.4
West Virginia,Huntington,11.5
West Virginia,Summersville Lake,38.7
West Virginia,White Sulphur Springs,17.5
West Virginia,Clarksburg,25
West Virginia,Fairmont,37.8
West Virginia,Morgantown,27.6
West Virginia,Moundsville,17.1
West Virginia,Parkersburg,22.1
Washington,Aberdeen,0.3
Washington,Clearwater,0.3
Washington,Forks,8
Washington,Grayland,0
Washington,Long Beach,0.6
Washington,Anacortes,2.4
Washington,Bellingham,10.4
Washington,Bremerton,3.5
Washington,"Olga, Orcas Island",5.3
Washington,Olympia,10.8
Washington,Port Townsend,2.4
Washington,Seattle,5
Washington,Vancouver,1.5
Washington,Baker Lake Dam,42.8
Washington,Baring,49.3
Washington,Mt Rainier Paradise Ranger Station,670.8
Washington,Ross Dam,57.7
Washington,Boundary Dam,55.9
Washington,Chelan,21.9
Washington,Kennewick,1.1
Washington,Leavenworth,79.8
Washington,Pullman,35.2
Washington,Spokane,44.9
Washington,Walla Walla,11.7
Washington,Wenatchee,33
Washington,Winthrop,56.5
Washington,Yakima,22
Virginia,Abingdon,12.5
Virginia,Burkes Garden,52.9
Virginia,Galax,20.3
Virginia,Hot Springs,27.6
Virginia,Pennington Gap,11.8
Virginia,Roanoke,18.5
Virginia,Staunton,22.7
Virginia,Winchester,24.3
Virginia,Wise,52.6
Virginia,Arlington,14.5
Virginia,Charlottesville,16.3
Virginia,Danville,4.7
Virginia,John H Kerr Dam,1.1
Virginia,Lynchburg,16.2
Virginia,Richmond,10.3
Virginia,Mathews,1.6
Virginia,Norfolk,5.8
Virginia,Painter,7.9
Virginia,Suffolk,5.1
Virginia,Williamsburg,5
Vermont,Cavendish,85.2
Vermont,Rutland,72.9
Vermont,Woodstock,80.8
Vermont,Montpelier,94.2
Vermont,Rochester,76.9
Vermont,South Lincoln,124.3
Vermont,Burlington,81.2
Vermont,Essex Junction,85.2
Vermont,Mount Mansfield,243.6
Vermont,Newport,96.4
Vermont,St Albans,80.6
Vermont,St Johnsbury,86.8
Vermont,South Hero,48
Utah,"Brighton, Silver Lake",411.1
Utah,Deer Creek Reservoir Dam,74.4
Utah,Echo Reservoir Dam,77
Utah,Logan,63.1
Utah,Nephi,55.1
Utah,Ogden,18.3
Utah,Pleasant Grove,44.6
Utah,Provo,57.1
Utah,Salt Lake City,56.2
Utah,Timpanogos Cave Monument,66.3
Utah,"Rockport Reservoir, Wanship Dam",76.6
Utah,Dinosaur National Monument,16.5
Utah,Flaming Gorge Reservoir Dam,49.1
Utah,Roosevelt,18.6
Utah,Arches National Park,6.4
Utah,Bryce Canyon Park Headquarters,89.6
Utah,"Canyonlands Park, The Needles",14.3
Utah,Capitol Reef National Park,12.5
Utah,Escalante,26
Utah,"Glen Canyon, Bullfrog Basin",2.8
Utah,Green River,7.6
Utah,Hovenweep National Monument,14.2
Utah,Moab,6.3
Utah,Natural Bridges Monument,34.4
Utah,"Blowhard Mountain at 10,694 feet",246.6
Utah,Cedar City,47.8
Utah,Delta,27.8
Utah,Fish Springs Wildlife Refuge,11.6
Utah,Richfield,18
Utah,St George,1.4
Utah,Zion National Park,4.2
Tennessee,Bristol,13.3
Tennessee,Chattanooga,3.9
Tennessee,Crossville,9.7
Tennessee,Dayton,2.8
Tennessee,Gatlinburg,8.9
Tennessee,Greeneville,9
Tennessee,Kingsport,8.6
Tennessee,Knoxville,6.5
Tennessee,Mountain City,13.5
Tennessee,Oak Ridge,6.6
Tennessee,Oneida,7
Tennessee,Cheatham Lake Dam,1.8
Tennessee,Clarksville,3.2
Tennessee,Columbia,1.4
Tennessee,Cookeville,6.4
Tennessee,Dover,5.3
Tennessee,Monteagle,3.9
Tennessee,Murfreesboro,2.7
Tennessee,Nashville,6.3
Tennessee,Shelbyville,2.7
Tennessee,Dyersburg,3.7
Tennessee,Jackson,3.6
Tennessee,Martin,3.9
Tennessee,Memphis,3.8
Tennessee,Savannah,2.7
South Dakota,Aberdeen,38.4
South Dakota,Brookings,31.9
South Dakota,Huron,43.9
South Dakota,Sioux Falls,44.5
South Dakota,Vermillion,32.9
South Dakota,Watertown,35.9
South Dakota,Waubay Wildlife Refuge,37.2
South Dakota,Yankton,34.5
South Dakota,Academy,45.2
South Dakota,Mobridge,31.1
South Dakota,Pickstown,28.5
South Dakota,Pierre,31.2
South Dakota,Custer,55.9
South Dakota,Deadwood,101.2
South Dakota,Hot Springs,27.5
South Dakota,Interior,28
South Dakota,Lead,197.5
South Dakota,Lemmon,40.6
South Dakota,Mt. Rushmore National Memorial,52.4
South Dakota,Pactola Reservoir Dam,51.6
South Dakota,Porcupine,34.4
South Dakota,Rapid City,49.3
South Dakota,Wind Cave National Park,41.7
South Carolina,Beaufort,0.3
South Carolina,Brookgreen Gardens,0.7
South Carolina,Charleston,0.5
South Carolina,Georgetown,0.1
South Carolina,Hilton Head Island,0
South Carolina,Sullivan's Island,0
South Carolina,Clarks Hill,0.3
South Carolina,Columbia,0.5
South Carolina,Florence,1.5
South Carolina,Orangeburg,0.2
South Carolina,Sumter,0.4
South Carolina,Anderson,1.4
South Carolina,Caesars Head State Park,8.1
South Carolina,Calhoun Falls,0.8
South Carolina,Greer,4.7
South Carolina,Ninety Nine Islands Reservoir,1.4
South Carolina,Spartanburg,1.4
Pennsylvania,Allentown,32.9
Pennsylvania,Chambersburg,31.1
Pennsylvania,George B. Stevenson Reservoir,36.1
Pennsylvania,Harrisburg,28.2
Pennsylvania,Lancaster,18.3
Pennsylvania,Matamoras,37.8
Pennsylvania,Norristown,23.8
Pennsylvania,Philadelphia,22.4
Pennsylvania,State College,45.6
Pennsylvania,Towanda,35.7
Pennsylvania,Wilkes-Barre & Scranton,46.2
Pennsylvania,Williamsport,36
Pennsylvania,York,25
Pennsylvania,Altoona,31.7
Pennsylvania,Bradford,71.8
Pennsylvania,Butler,36.3
Pennsylvania,Erie,101.2
Pennsylvania,Indiana,46.5
Pennsylvania,Jamestown,62.2
Pennsylvania,New Castle,29.3
Pennsylvania,Pittsburgh,41.9
Pennsylvania,Uniontown,25.9
Pennsylvania,Warren,68.9
Pennsylvania,Youghiogheny River Lake,59.3
Oregon,Astoria,1.4
Oregon,Brookings,0.6
Oregon,Gold Beach,0
Oregon,Honeyman State Park,0.5
Oregon,Newport,0.3
Oregon,North Bend,0.4
Oregon,Port Orford,0.2
Oregon,Seaside,0
Oregon,Tillamook,0.2
Oregon,Corvallis,3.1
Oregon,Eugene,4.9
Oregon,Portland,3
Oregon,Salem,6.2
Oregon,Crater Lake Park,482.5
Oregon,Detroit Lake Dam,9.8
Oregon,Government Camp,246.3
Oregon,Howard Prairie Lake Dam,125.2
Oregon,Lakeview,52.8
Oregon,Medford,4.1
Oregon,Three Lynx,8.9
Oregon,Toketee Falls,25.6
Oregon,Wickiup Reservoir Dam,80.4
Oregon,Bend,22.5
Oregon,Hood River,24.3
Oregon,Madras,7.5
Oregon,The Dalles,5.1
Oregon,Heppner,12.3
Oregon,La Grande,11.5
Oregon,Lake Owyhee Dam,6.3
Oregon,Ontario,10.2
Oregon,Pendleton,15.2
Oregon,Seneca,58.3
Oregon,Summer Lake,12.1
Oklahoma,Bartlesville,13.8
Oklahoma,Idabel,1.6
Oklahoma,Lake Eufaula,2.9
Oklahoma,McAlester,5.5
Oklahoma,Miami,5.5
Oklahoma,Muskogee,5.2
Oklahoma,Tulsa,9.7
Oklahoma,Webbers Falls,5.3
Oklahoma,Ada,4.5
Oklahoma,Ardmore,3.1
Oklahoma,Chickasha,3
Oklahoma,Enid,9.5
Oklahoma,Great Salt Plains Lake Dam,11.4
Oklahoma,Guthrie,7.3
Oklahoma,Norman,4.5
Oklahoma,Oklahoma City,7.8
Oklahoma,Ponca City,8.4
Oklahoma,Stillwater,8.2
Oklahoma,Altus,3.5
Oklahoma,Altus Lake Dam,3.3
Oklahoma,Beaver,10.7
Oklahoma,Elk City,8.3
Oklahoma,Kenton,25.9
Oklahoma,Lawton,2.3
Oklahoma,Reydon,11.9
Oklahoma,Wichita Mountains Wildlife Refuge,1.5
Ohio,Akron,47.4
Ohio,Chippewa Lake,37.9
Ohio,Cleveland,68.1
Ohio,Findlay,24.5
Ohio,Mansfield,48.8
Ohio,Ottawa National Wildlife Refuge,13.8
Ohio,Painesville on the Lake,35.9
Ohio,Sandusky,16.2
Ohio,Toledo,37.7
Ohio,Youngstown,62.8
Ohio,Athens,19.5
Ohio,Cincinnati,11.2
Ohio,Columbus,27.5
Ohio,Dayton,12.3
Ohio,Gallipolis,7.2
Ohio,Marietta,19.4
Ohio,McConnelsville Lock,20.2
Ohio,Newark,18.4
Ohio,Portsmouth,9.5
Ohio,Wilmington,20.7
North Dakota,Fargo,50.1
North Dakota,Grand Forks,42.8
North Dakota,Jamestown,44.5
North Dakota,Valley City,35.4
North Dakota,Wahpeton,27.2
North Dakota,Bismarck,51.2
North Dakota,Bottineau,43.2
North Dakota,Garrison,35
North Dakota,Minot,46.1
North Dakota,Rugby,37.3
North Dakota,Dickinson,34.3
North Dakota,Kenmare,38.9
North Dakota,Medora,29.7
North Dakota,Powers Lake,30.9
North Dakota,Pretty Rock Wildlife Refuge,50.3
North Dakota,Williston,45.3
North Carolina,Asheville,13.2
North Carolina,Banner Elk,38.7
North Carolina,Boone,35.3
North Carolina,Grandfather Mountain,53.5
North Carolina,Highlands,11.8
North Carolina,Kerr Scott Reservoir,9.7
North Carolina,Morganton,3.9
North Carolina,Oconaluftee,6.5
North Carolina,Pisgah Forest,7.5
North Carolina,Waterville,4.1
North Carolina,Chapel Hill,3.7
North Carolina,Charlotte,4.3
North Carolina,Concord,3.7
North Carolina,Durham,1.9
North Carolina,Gastonia,0.9
North Carolina,Greensboro,7.6
North Carolina,Henderson,2.7
North Carolina,Hickory,7.7
North Carolina,High Point,1.8
North Carolina,Mount Airy,9.3
North Carolina,Raleigh,3.9
North Carolina,Belhaven,1.7
North Carolina,Cape Hatteras,1.7
North Carolina,Cedar Island,1.9
North Carolina,Edenton,3.1
North Carolina,Elizabeth City,0.1
North Carolina,Fayetteville,1
North Carolina,Goldsboro,4.3
North Carolina,Greenville,2.9
North Carolina,Hofmann Forest,1.4
North Carolina,Manteo,0.8
North Carolina,Morehead City,0.4
North Carolina,New Bern,1.5
North Carolina,Southport,0.6
North Carolina,Wilmington,1.7
New York,"Bridgehampton, Long Island",26.8
New York,"Brookhaven, Long Island",31.9
New York,"New York City, Brooklyn",22.7
New York,"New York City, Central Park",25.1
New York,New York JFK Airport,23.8
New York,New York La Guardia Airport,26.9
New York,White Plains,27.7
New York,Albany,59.1
New York,Poughkeepsie,32.8
New York,Saratoga Springs,63.4
New York,Slide Mountain (2650 feet),94.5
New York,Glens Falls,68
New York,Lake Placid,103
New York,Massena,69.4
New York,Old Forge,177.3
New York,Watertown,112.1
New York,Binghamton,83.4
New York,Elmira,37.9
New York,Ithaca,64.4
New York,Syracuse,123.8
New York,Utica,88.3
New York,Buffalo,94.7
New York,Jamestown,97.5
New York,Niagara Falls,76.1
New York,Rochester,99.5
New Mexico,Alamogordo,3.9
New Mexico,Bitter Lake Wildlife Refuge,5.2
New Mexico,Carlsbad,2.4
New Mexico,Carlsbad Caverns National Park,3.9
New Mexico,Cuba,29.8
New Mexico,Elephant Butte Lake Dam,0.8
New Mexico,Gila Hot Springs,5.7
New Mexico,Hobbs,4
New Mexico,Roswell,11.9
New Mexico,Ruidoso,29.9
New Mexico,White Sands National Monument,2.3
New Mexico,Albuquerque,9.6
New Mexico,Clovis,13.8
New Mexico,Conchas Lake Dam,12
New Mexico,El Morro National Monument,47.2
New Mexico,Gallup,33.7
New Mexico,Gran Quivira National Monument,11.1
New Mexico,Grants,9.3
New Mexico,Las Vegas,39.9
New Mexico,Pecos National Monument,23
New Mexico,Santa Fe,23
New Mexico,Socorro,5.7
New Mexico,Tucumcari,19.9
New Mexico,Abiquiu Lake Dam,9.8
New Mexico,Aztec Ruins National Monument,14.1
New Mexico,Chaco Canyon National Monument,12.5
New Mexico,Clayton,28
New Mexico,Eagle Nest,67.8
